"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"65","2000","5","Karnataka","Kolar","39355.0","64.0","108.42","99.13","13768.0","22.4","37.93","34.68","8386.0","13.6","23.1","21.12","61509.0","169.45","154.93"
"65","2001","5","Karnataka","Kolar","31703.0","62.4","90.44","85.22","11971.0","23.6","34.15","32.18","7148.0","14.1","20.39","19.21","50822.0","144.97","136.61"
"65","2002","5","Karnataka","Kolar","26414.0","57.7","99.81","97.49","10971.0","24.0","41.46","40.49","8389.0","18.3","31.7","30.96","45774.0","172.97","168.95"
"65","2003","5","Karnataka","Kolar","25156.0","55.1","70.89","69.4","11250.0","24.6","31.7","31.04","9263.0","20.3","26.1","25.55","45669.0","128.7","125.99"
"65","2004","5","Karnataka","Kolar","27494.0","51.7","76.09","73.54","14042.0","26.4","38.86","37.56","11659.0","21.9","32.27","31.18","53195.0","147.22","142.28"
"65","2005","5","Karnataka","Kolar","31307.0","50.8","89.86","86.19","18244.0","29.6","52.37","50.23","12074.0","19.6","34.66","33.24","61625.0","176.89","169.66"
"65","2006","5","Karnataka","Kolar","28971.0","52.7","100.86","98.07","16685.0","30.3","58.09","56.48","9336.0","17.0","32.5","31.6","54992.0","191.45","186.16"
"65","2007","5","Karnataka","Kolar","23704.0","55.9","137.13","132.16","10901.0","25.7","63.06","60.78","7762.0","18.3","44.9","43.28","42367.0","245.09","236.21"
"65","2008","5","Karnataka","Kolar","16862.0","48.5","93.89","89.91","11147.0","32.1","62.07","59.44","6766.0","19.5","37.67","36.08","34775.0","193.64","185.43"
"65","2009","5","Karnataka","Kolar","18342.0","45.8","111.57","105.98","13873.0","34.7","84.39","80.16","7805.0","19.5","47.48","45.1","40020.0","243.43","231.24"
"65","2010","5","Karnataka","Kolar","17995.0","45.5","96.5","88.52","14889.0","37.7","79.85","73.24","6659.0","16.8","35.71","32.76","39543.0","212.06","194.52"
"65","2011","5","Karnataka","Kolar","17011.0","51.0","92.85","87.58","11769.0","35.3","64.24","60.59","4586.0","13.7","25.03","23.61","33366.0","182.12","171.79"
"65","2012","5","Karnataka","Kolar","15361.0","55.9","86.4","81.78","8945.0","32.6","50.31","47.62","3152.0","11.5","17.73","16.78","27458.0","154.45","146.19"
"65","2013","5","Karnataka","Kolar","14976.0","59.1","87.79","83.28","7482.0","29.6","43.86","41.61","2861.0","11.3","16.77","15.91","25319.0","148.42","140.79"
"65","2014","5","Karnataka","Kolar","12689.0","54.6","75.68","71.77","6505.0","28.0","38.8","36.8","4063.0","17.5","24.23","22.98","23257.0","138.71","131.55"
"65","2015","5","Karnataka","Kolar","14344.0","57.5","88.11","83.8","7507.0","30.1","46.11","43.86","3101.0","12.4","19.05","18.12","24952.0","153.28","145.77"
"65","2016","5","Karnataka","Kolar","11237.0","50.6","67.48","63.46","7842.0","35.3","47.09","44.29","3111.0","14.0","18.68","17.57","22190.0","133.26","125.32"
"65","2017","5","Karnataka","Kolar","14174.0","55.0","85.6","81.75","8234.0","32.0","49.73","47.49","3340.0","13.0","20.17","19.26","25748.0","155.5","148.5"
"66","2000","5","Karnataka","Tumkur","27927.0","57.6","46.31","42.25","14352.0","29.6","23.8","21.71","6225.0","12.8","10.32","9.42","48504.0","80.44","73.38"
"66","2001","5","Karnataka","Tumkur","23927.0","56.6","41.63","38.15","11911.0","28.2","20.72","18.99","6444.0","15.2","11.21","10.27","42282.0","73.57","67.41"
"66","2002","5","Karnataka","Tumkur","19764.0","57.2","36.76","34.53","10746.0","31.1","19.99","18.78","4059.0","11.7","7.55","7.09","34569.0","64.3","60.4"
"66","2003","5","Karnataka","Tumkur","15504.0","58.1","27.43","25.89","7403.0","27.7","13.1","12.36","3775.0","14.1","6.68","6.3","26682.0","47.2","44.55"
"66","2004","5","Karnataka","Tumkur","18184.0","54.5","31.21","29.28","9500.0","28.5","16.3","15.3","5675.0","17.0","9.74","9.14","33359.0","57.25","53.71"
"66","2005","5","Karnataka","Tumkur","22329.0","54.2","36.03","33.81","11814.0","28.7","19.07","17.89","7075.0","17.2","11.42","10.71","41218.0","66.52","62.41"
"66","2006","5","Karnataka","Tumkur","17560.0","53.3","34.56","32.55","10332.0","31.4","20.34","19.15","5040.0","15.3","9.92","9.34","32932.0","64.82","61.04"
"66","2007","5","Karnataka","Tumkur","21476.0","59.4","35.31","32.33","9334.0","25.8","15.35","14.05","5368.0","14.8","8.83","8.08","36178.0","59.48","54.46"
"66","2008","5","Karnataka","Tumkur","23923.0","49.2","38.89","34.95","14783.0","30.4","24.03","21.6","9884.0","20.3","16.07","14.44","48590.0","79.0","70.99"
"66","2009","5","Karnataka","Tumkur","29535.0","47.1","52.42","47.3","22672.0","36.2","40.24","36.31","10457.0","16.7","18.56","16.75","62664.0","111.22","100.36"
"66","2010","5","Karnataka","Tumkur","27684.0","50.8","49.53","43.82","18593.0","34.1","33.26","29.43","8175.0","15.0","14.63","12.94","54452.0","97.42","86.19"
